Time(s)	BFLUXG(1,3)
 1.6100005e+02	 0.0000000e+00
 1.6200008e+02	 0.0000000e+00
 1.6300006e+02	 0.0000000e+00
 1.6400012e+02	 0.0000000e+00
 1.6410002e+02	 0.0000000e+00
 1.6420000e+02	 0.0000000e+00
 1.6430002e+02	 0.0000000e+00
 1.6440001e+02	 0.0000000e+00
 1.6450003e+02	 0.0000000e+00
 1.6460002e+02	 0.0000000e+00
 1.6470001e+02	 0.0000000e+00
 1.6480003e+02	 0.0000000e+00
 1.6490002e+02	 0.0000000e+00
 1.6500003e+02	 0.0000000e+00
 1.6510007e+02	 0.0000000e+00
 1.6520001e+02	 0.0000000e+00
 1.6530002e+02	 0.0000000e+00
 1.6540002e+02	 0.0000000e+00
 1.6550002e+02	 0.0000000e+00
 1.6560004e+02	 0.0000000e+00
 1.6570004e+02	 0.0000000e+00
 1.6580003e+02	 0.0000000e+00
 1.6590004e+02	 0.0000000e+00
 1.6600005e+02	 0.0000000e+00
 1.6610001e+02	 0.0000000e+00
 1.6620007e+02	 0.0000000e+00
 1.6630000e+02	 0.0000000e+00
 1.6640010e+02	 0.0000000e+00
 1.6650000e+02	 0.0000000e+00
 1.6660007e+02	 0.0000000e+00
 1.6670003e+02	 0.0000000e+00
 1.6680000e+02	 0.0000000e+00
 1.6690005e+02	 0.0000000e+00
 1.6700006e+02	 0.0000000e+00
 1.6710001e+02	 0.0000000e+00
 1.6720006e+02	 0.0000000e+00
 1.6730003e+02	 0.0000000e+00
 1.6740001e+02	 0.0000000e+00
 1.6750000e+02	 0.0000000e+00
 1.6760002e+02	 0.0000000e+00
 1.6770000e+02	 0.0000000e+00
 1.6780000e+02	 0.0000000e+00
 1.6790001e+02	 0.0000000e+00
 1.6800005e+02	 0.0000000e+00
 1.6810002e+02	 0.0000000e+00
 1.6820003e+02	 0.0000000e+00
 1.6830003e+02	 0.0000000e+00
 1.6840002e+02	 0.0000000e+00
 1.6850000e+02	 0.0000000e+00
 1.6860008e+02	 0.0000000e+00
 1.6870001e+02	 0.0000000e+00
 1.6880006e+02	 0.0000000e+00
 1.6890001e+02	 0.0000000e+00
 1.6900002e+02	 0.0000000e+00
 1.6910005e+02	 0.0000000e+00
 1.6920010e+02	 0.0000000e+00
 1.6930003e+02	 0.0000000e+00
 1.6940005e+02	 0.0000000e+00
 1.6950003e+02	 0.0000000e+00
 1.6960005e+02	 0.0000000e+00
 1.6970004e+02	 0.0000000e+00
 1.6980008e+02	 0.0000000e+00
 1.6990001e+02	 0.0000000e+00
